StudentID,Gender,ParentalBackground,ExtracurricularActivities,PreviousGPA,Attendance,SelfStudy,StudyHours,CurrentGPA
9163,Male,Master's,No,2.89,86.17,No,6,2.77
5500,Male,Doctorate,No,3.81,81.36,Yes,6,3.92
5984,Male,High School,Yes,2.84,85.5,Yes,10,2.41
1127,Male,Bachelor's,No,3.88,86.96,Yes,11,4.0
1881,Female,Associate's,Yes,2.73,94.0,No,17,2.32
7313,Female,Master's,No,3.13,83.58,No,8,2.68
3249,Female,Associate's,No,2.92,83.22,Yes,6,3.29
1128,Female,Master's,Yes,2.07,79.57,Yes,6,1.73
4487,Female,High School,No,2.42,76.09,Yes,17,2.65
4508,Female,Bachelor's,Yes,3.03,87.0,No,9,3.39
3609,Male,Doctorate,Yes,3.75,93.17,No,24,3.94
1661,Male,High School,Yes,2.12,89.68,No,9,2.12
7523,Male,Bachelor's,Yes,2.1,81.36,No,9,1.87
2689,Male,Bachelor's,No,3.46,85.38,No,10,3.16
6006,Male,Doctorate,Yes,2.3,78.9,Yes,20,2.79
3289,Female,High School,No,3.86,92.23,No,19,3.75
3141,Female,Doctorate,Yes,3.63,82.61,No,5,3.9
8885,Female,Associate's,No,2.28,75.77,No,13,2.31
7428,Female,Doctorate,No,2.75,88.81,No,8,3.11
6392,Female,Associate's,No,3.33,85.72,No,24,2.99
7502,Female,Doctorate,Yes,3.75,96.6,Yes,10,3.38
3309,Male,Doctorate,Yes,3.93,88.18,No,9,3.54
5054,Female,Master's,Yes,2.35,79.27,No,25,2.29
9445,Male,Bachelor's,No,2.15,92.1,No,19,2.04
9168,Female,High School,No,3.31,99.16,Yes,21,3.33
9396,Female,Associate's,No,2.25,83.71,No,7,2.41
6912,Male,Master's,Yes,2.3,78.35,No,12,2.11
3956,Female,Master's,No,2.8,83.99,No,12,2.94
8606,Male,Associate's,No,3.18,88.78,No,15,3.32
9447,Male,Master's,No,3.68,90.35,Yes,7,3.37
7186,Female,Doctorate,No,3.12,75.43,Yes,23,2.99
7324,Female,Master's,Yes,2.01,79.29,Yes,9,1.76
7458,Male,Doctorate,Yes,3.35,78.76,Yes,20,3.47
8129,Male,Associate's,No,2.13,79.34,Yes,9,2.51
1957,Female,Doctorate,No,2.14,76.25,No,18,2.34
1783,Female,Associate's,Yes,3.21,75.33,Yes,21,3.15
8028,Female,Associate's,No,2.33,85.57,Yes,24,2.8
2761,Male,Master's,Yes,3.82,86.93,Yes,25,4.0
6147,Female,Associate's,Yes,2.84,86.76,No,6,2.72
8506,Male,Associate's,Yes,2.94,77.43,No,6,3.04
6350,Male,Doctorate,No,2.34,98.34,Yes,15,2.12
6097,Female,Doctorate,Yes,3.68,93.15,Yes,22,3.9
3774,Male,Bachelor's,Yes,3.72,94.61,Yes,22,4.0
8410,Female,High School,Yes,3.16,97.24,Yes,20,2.99
2094,Male,High School,Yes,2.83,84.95,No,12,3.11
6381,Male,Associate's,Yes,3.78,85.65,No,17,3.88
2583,Male,Associate's,Yes,3.12,95.04,No,23,3.43
5139,Female,High School,No,2.1,87.43,No,11,1.61
2731,Female,Master's,No,2.84,99.43,No,10,3.15
4218,Female,Associate's,Yes,3.77,93.31,No,10,3.8
8097,Female,Master's,Yes,2.63,89.37,No,25,2.64
4797,Female,Doctorate,No,2.63,89.82,Yes,15,2.63
6729,Female,Master's,No,3.97,87.83,No,21,4.0
6528,Male,High School,Yes,2.68,97.98,Yes,20,2.92
3051,Male,Associate's,Yes,2.47,79.37,No,17,2.77
8897,Male,Bachelor's,No,2.91,84.99,Yes,25,2.55
2531,Female,High School,No,2.79,89.79,Yes,25,2.79
9569,Male,Associate's,Yes,3.38,94.61,No,8,3.51
2804,Male,Bachelor's,Yes,2.08,82.33,No,24,1.67
3798,Female,High School,No,2.2,87.91,Yes,22,2.24
9854,Female,High School,Yes,2.2,89.77,Yes,13,1.96
5222,Male,Master's,No,3.39,75.05,No,8,3.15
8669,Male,High School,No,2.65,92.83,No,12,2.16
1068,Male,Master's,Yes,2.04,75.02,Yes,17,1.88
7431,Male,Doctorate,No,2.58,88.85,No,23,2.87
2248,Female,Bachelor's,No,3.97,83.64,Yes,20,3.82
3234,Male,Master's,Yes,3.85,92.72,Yes,7,4.0
3251,Female,Master's,No,3.76,95.94,Yes,24,3.66
1386,Female,Bachelor's,No,3.96,86.96,No,22,3.59
3096,Female,Associate's,No,3.9,91.37,Yes,23,3.97
6417,Male,High School,No,2.86,77.44,No,22,3.27
3638,Male,Bachelor's,Yes,2.73,90.38,Yes,24,2.48
8220,Male,Doctorate,Yes,3.95,85.25,No,24,3.81
5899,Male,Master's,No,2.14,96.82,Yes,8,2.49
8380,Female,High School,Yes,2.58,77.98,Yes,15,2.1
2281,Female,Master's,No,2.5,78.41,Yes,24,2.04
2395,Male,Associate's,No,2.32,91.28,No,9,2.64
9250,Male,Doctorate,Yes,2.09,82.87,No,22,2.08
3378,Male,High School,No,2.57,95.39,No,5,2.37
1836,Male,High School,No,3.81,76.79,No,23,3.63
2901,Female,Associate's,No,2.98,76.74,Yes,24,2.6
1455,Female,Master's,No,3.49,79.71,No,5,3.11
3399,Female,Master's,Yes,2.98,95.27,Yes,15,2.97
3755,Male,High School,No,2.43,77.84,No,12,2.69
6273,Female,Associate's,Yes,3.53,82.55,Yes,19,3.32
5850,Female,High School,No,2.38,96.1,Yes,18,1.98
7983,Female,Bachelor's,No,3.64,79.87,No,24,3.47
5289,Female,Bachelor's,Yes,3.29,96.34,No,24,3.16
1074,Male,Bachelor's,No,2.29,93.7,No,8,2.17
8789,Female,Master's,No,2.93,78.23,No,9,3.37
6385,Male,High School,No,3.51,78.44,Yes,5,3.65
1190,Male,Associate's,No,3.83,95.83,Yes,14,3.74
7209,Female,Doctorate,Yes,2.77,83.37,No,24,3.19
1968,Female,Associate's,No,3.77,98.28,Yes,19,3.73
1994,Male,Associate's,Yes,2.98,76.54,No,22,2.61
8473,Male,Master's,Yes,3.42,99.94,No,21,3.11
9324,Male,Associate's,No,3.62,77.95,Yes,5,4.0
1536,Female,High School,Yes,3.91,90.27,No,13,3.47
1495,Female,Doctorate,Yes,2.33,89.18,Yes,17,2.13
4778,Female,Bachelor's,Yes,3.19,97.1,Yes,14,2.96
6671,Male,High School,No,2.73,79.61,No,12,3.09
7652,Female,Associate's,Yes,2.29,87.08,Yes,24,2.34
4224,Female,Bachelor's,No,2.43,78.11,Yes,18,2.72
5344,Male,Doctorate,Yes,2.24,99.65,Yes,7,2.61
8988,Female,Master's,Yes,2.73,82.64,No,19,2.66
1406,Female,Bachelor's,No,3.68,85.04,No,16,3.19
7436,Male,Master's,No,2.54,83.39,Yes,10,2.95
9173,Male,High School,No,3.95,75.77,Yes,16,4.0
7022,Female,Associate's,Yes,2.02,89.04,No,24,2.16
